,J,Q,Delta1,Delta2,Delta3,Delta4,lambda_2,lambda_3
62,-0.1,0.5,-0.005,-0.6666666666666667,0.0,6.0,(2.1000000000000005+13.571477443521024j),(2.1000000000000005-13.571477443521024j)
63,-0.1,0.5,-0.005,0.0,-3.0,3.0,(10.197221745759467+0j),(-5.997221745759467+0j)
64,-0.1,0.5,-0.005,0.0,-3.0,4.5,(4.294310825749168+0j),(-0.09431082574916694+0j)
65,-0.1,0.5,-0.005,0.0,-3.0,6.0,(2.1000000000000005+7.478970517390746j),(2.1000000000000005-7.478970517390746j)
66,-0.1,0.5,-0.005,0.0,-1.5,3.0,(2.1000000000000005+5.055689863905816j),(2.1000000000000005-5.055689863905816j)
67,-0.1,0.5,-0.005,0.0,-1.5,4.5,(2.1000000000000005+9.290317540321213j),(2.1000000000000005-9.290317540321213j)
68,-0.1,0.5,-0.005,0.0,-1.5,6.0,(2.1000000000000005+12.126829758844643j),(2.1000000000000005-12.126829758844643j)
69,-0.1,0.5,-0.005,0.0,0.0,3.0,(2.1000000000000005+10.8020831324333j),(2.1000000000000005-10.8020831324333j)
70,-0.1,0.5,-0.005,0.0,0.0,4.5,(2.1000000000000005+13.320472964575995j),(2.1000000000000005-13.320472964575995j)
71,-0.1,0.5,-0.005,0.0,0.0,6.0,(2.1000000000000005+15.433243340270378j),(2.1000000000000005-15.433243340270378j)
72,-0.1,0.5,0.0,-2.0,-3.0,3.0,(17.171828024496566+0j),(-12.971828024496563+0j)
73,-0.1,0.5,0.0,-2.0,-3.0,4.5,(15+0j),(-10.8+0j)
74,-0.1,0.5,0.0,-2.0,-3.0,6.0,(12.379105019407088+0j),(-8.17910501940709+0j)
75,-0.1,0.5,0.0,-2.0,-1.5,3.0,(13.763404305776252+0j),(-9.563404305776249+0j)
76,-0.1,0.5,0.0,-2.0,-1.5,4.5,(10.776692918387742+0j),(-6.576692918387741+0j)
77,-0.1,0.5,0.0,-2.0,-1.5,6.0,(5.912479508141651+0j),(-1.7124795081416502+0j)
78,-0.1,0.5,0.0,-2.0,0.0,3.0,(8.801492371106605+0j),(-4.601492371106603+0j)
79,-0.1,0.5,0.0,-2.0,0.0,4.5,(2.1000000000000005+3.9799497484264794j),(2.1000000000000005-3.9799497484264794j)
80,-0.1,0.5,0.0,-2.0,0.0,6.0,(2.1000000000000005+8.751571287488893j),(2.1000000000000005-8.751571287488893j)
81,-0.1,0.5,0.0,-1.3333333333333335,-3.0,3.0,(15.259027319676786+0j),(-11.059027319676783+0j)
82,-0.1,0.5,0.0,-1.3333333333333335,-3.0,4.5,(12.702358228243376+0j),(-8.502358228243374+0j)
83,-0.1,0.5,0.0,-1.3333333333333335,-3.0,6.0,(9.287489130426565+0j),(-5.087489130426564+0j)
84,-0.1,0.5,0.0,-1.3333333333333335,-1.5,3.0,(11.157317483670319+0j),(-6.957317483670317+0j)
85,-0.1,0.5,0.0,-1.3333333333333335,-1.5,4.5,(6.713566949768912+0j),(-2.5135669497689106+0j)
86,-0.1,0.5,0.0,-1.3333333333333335,-1.5,6.0,(2.1000000000000005+6.282117477411576j),(2.1000000000000005-6.282117477411576j)
87,-0.1,0.5,0.0,-1.3333333333333335,0.0,3.0,(2.1000000000000005+3.014962686336265j),(2.1000000000000005-3.014962686336265j)
88,-0.1,0.5,0.0,-1.3333333333333335,0.0,4.5,(2.1000000000000005+8.35703296631047j),(2.1000000000000005-8.35703296631047j)
89,-0.1,0.5,0.0,-1.3333333333333335,0.0,6.0,(2.1000000000000005+11.427598172844545j),(2.1000000000000005-11.427598172844545j)
90,-0.1,0.5,0.0,-0.6666666666666667,-3.0,3.0,(13.016043239196154+0j),(-8.816043239196151+0j)
91,-0.1,0.5,0.0,-0.6666666666666667,-3.0,4.5,(9.7426435217142+0j),(-5.542643521714199+0j)
92,-0.1,0.5,0.0,-0.6666666666666667,-3.0,6.0,(2.1000000000000005+1.529705854077827j),(2.1000000000000005-1.529705854077827j)
93,-0.1,0.5,0.0,-0.6666666666666667,-1.5,3.0,(7.394808778416839+0j),(-3.1948087784168377+0j)
94,-0.1,0.5,0.0,-0.6666666666666667,-1.5,4.5,(2.1000000000000005+5.719702789481285j),(2.1000000000000005-5.719702789481285j)
95,-0.1,0.5,0.0,-0.6666666666666667,-1.5,6.0,(2.1000000000000005+9.667729826593211j),(2.1000000000000005-9.667729826593211j)
96,-0.1,0.5,0.0,-0.6666666666666667,0.0,3.0,(2.1000000000000005+7.942921376924236j),(2.1000000000000005-7.942921376924236j)
97,-0.1,0.5,0.0,-0.6666666666666667,0.0,4.5,(2.1000000000000005+11.128342194594845j),(2.1000000000000005-11.128342194594845j)
98,-0.1,0.5,0.0,-0.6666666666666667,0.0,6.0,(2.1000000000000005+13.586390249069103j),(2.1000000000000005-13.586390249069103j)
99,-0.1,0.5,0.0,0.0,-3.0,3.0,(10.172174428244226+0j),(-5.972174428244226+0j)
100,-0.1,0.5,0.0,0.0,-3.0,4.5,(4.200000000000001+0j),0j
101,-0.1,0.5,0.0,0.0,-3.0,6.0,(2.1000000000000005+7.505997601918082j),(2.1000000000000005-7.505997601918082j)
102,-0.1,0.5,0.0,0.0,-1.5,3.0,(2.1000000000000005+5.095586325438909j),(2.1000000000000005-5.095586325438909j)
103,-0.1,0.5,0.0,0.0,-1.5,4.5,(2.1000000000000005+9.312088917101255j),(2.1000000000000005-9.312088917101255j)
104,-0.1,0.5,0.0,0.0,-1.5,6.0,(2.1000000000000005+12.143516788805456j),(2.1000000000000005-12.143516788805456j)
105,-0.1,0.5,0.0,0.0,0.0,3.0,(2.1000000000000005+10.820813278122861j),(2.1000000000000005-10.820813278122861j)
106,-0.1,0.5,0.0,0.0,0.0,4.5,(2.1000000000000005+13.335666462535722j),(2.1000000000000005-13.335666462535722j)
107,-0.1,0.5,0.0,0.0,0.0,6.0,(2.1000000000000005+15.446358794227201j),(2.1000000000000005-15.446358794227201j)
108,-0.1,0.5,0.004999999999999999,-2.0,-3.0,3.0,(17.15838636773542+0j),(-12.958386367735422+0j)
109,-0.1,0.5,0.004999999999999999,-2.0,-3.0,4.5,(14.984292762895446+0j),(-10.784292762895447+0j)
110,-0.1,0.5,0.004999999999999999,-2.0,-3.0,6.0,(12.359385946536957+0j),(-8.159385946536958+0j)
111,-0.1,0.5,0.004999999999999999,-2.0,-1.5,3.0,(13.746029366269003+0j),(-9.546029366269003+0j)
