,J,Q,Delta1,Delta2,Delta3,Delta4,lambda_2,lambda_3
1944,0.033333333333333326,0.5,0.01,-2.0,-3.0,3.0,(14.21408730026749+0j),(-15.614087300267489+0j)
1945,0.033333333333333326,0.5,0.01,-2.0,-3.0,4.5,(12.015345060201868+0j),(-13.415345060201867+0j)
1946,0.033333333333333326,0.5,0.01,-2.0,-3.0,6.0,(9.34639238731994+0j),(-10.746392387319938+0j)
1947,0.033333333333333326,0.5,0.01,-2.0,-1.5,3.0,(10.758839382764734+0j),(-12.158839382764732+0j)
1948,0.033333333333333326,0.5,0.01,-2.0,-1.5,4.5,(7.699702375679748+0j),(-9.099702375679747+0j)
1949,0.033333333333333326,0.5,0.01,-2.0,-1.5,6.0,(2.4312936623702384+0j),(-3.831293662370238+0j)
1950,0.033333333333333326,0.5,0.01,-2.0,0.0,3.0,(5.638769596696191+0j),(-7.038769596696191+0j)
1951,0.033333333333333326,0.5,0.01,-2.0,0.0,4.5,(-0.6999999999999998+4.535416188179427j),(-0.6999999999999998-4.535416188179427j)
1952,0.033333333333333326,0.5,0.01,-2.0,0.0,6.0,(-0.6999999999999998+9.017760254076396j),(-0.6999999999999998-9.017760254076396j)
1953,0.033333333333333326,0.5,0.01,-1.3333333333333335,-3.0,3.0,(12.278058406402709+0j),(-13.678058406402707+0j)
1954,0.033333333333333326,0.5,0.01,-1.3333333333333335,-3.0,4.5,(9.676897416858278+0j),(-11.076897416858277+0j)
1955,0.033333333333333326,0.5,0.01,-1.3333333333333335,-3.0,6.0,(6.150547423381579+0j),(-7.5505474233815795+0j)
1956,0.033333333333333326,0.5,0.01,-1.3333333333333335,-1.5,3.0,(8.092326199590186+0j),(-9.492326199590185+0j)
1957,0.033333333333333326,0.5,0.01,-1.3333333333333335,-1.5,4.5,(3.3687836020117845+0j),(-4.768783602011784+0j)
1958,0.033333333333333326,0.5,0.01,-1.3333333333333335,-1.5,6.0,(-0.6999999999999998+6.647932009279277j),(-0.6999999999999998-6.647932009279277j)
1959,0.033333333333333326,0.5,0.01,-1.3333333333333335,0.0,3.0,(-0.6999999999999998+3.7175260590882195j),(-0.6999999999999998-3.7175260590882195j)
1960,0.033333333333333326,0.5,0.01,-1.3333333333333335,0.0,4.5,(-0.6999999999999998+8.635392289873112j),(-0.6999999999999998-8.635392289873112j)
1961,0.033333333333333326,0.5,0.01,-1.3333333333333335,0.0,6.0,(-0.6999999999999998+11.632712495372694j),(-0.6999999999999998-11.632712495372694j)
1962,0.033333333333333326,0.5,0.01,-0.6666666666666667,-3.0,3.0,(9.997195894251915+0j),(-11.397195894251913+0j)
1963,0.033333333333333326,0.5,0.01,-0.6666666666666667,-3.0,4.5,(6.6266636336056814+0j),(-8.026663633605681+0j)
1964,0.033333333333333326,0.5,0.01,-0.6666666666666667,-3.0,6.0,(-0.6999999999999998+2.658947160061665j),(-0.6999999999999998-2.658947160061665j)
1965,0.033333333333333326,0.5,0.01,-0.6666666666666667,-1.5,3.0,(4.1275252459205225+0j),(-5.527525245920523+0j)
1966,0.033333333333333326,0.5,0.01,-0.6666666666666667,-1.5,4.5,(-0.6999999999999998+6.119231977952788j),(-0.6999999999999998-6.119231977952788j)
1967,0.033333333333333326,0.5,0.01,-0.6666666666666667,-1.5,6.0,(-0.6999999999999998+9.90933902942068j),(-0.6999999999999998-9.90933902942068j)
1968,0.033333333333333326,0.5,0.01,-0.6666666666666667,0.0,3.0,(-0.6999999999999998+8.235289915965314j),(-0.6999999999999998-8.235289915965314j)
1969,0.033333333333333326,0.5,0.01,-0.6666666666666667,0.0,4.5,(-0.6999999999999998+11.338871196022998j),(-0.6999999999999998-11.338871196022998j)
1970,0.033333333333333326,0.5,0.01,-0.6666666666666667,0.0,6.0,(-0.6999999999999998+13.759360450253492j),(-0.6999999999999998-13.759360450253492j)
1971,0.033333333333333326,0.5,0.01,0.0,-3.0,3.0,(7.073673520286276+0j),(-8.473673520286276+0j)
1972,0.033333333333333326,0.5,0.01,0.0,-3.0,4.5,(-0.6999999999999998+0.5656854249492229j),(-0.6999999999999998-0.5656854249492229j)
1973,0.033333333333333326,0.5,0.01,0.0,-3.0,6.0,(-0.6999999999999998+7.814729681825212j),(-0.6999999999999998-7.814729681825212j)
1974,0.033333333333333326,0.5,0.01,0.0,-1.5,3.0,(-0.6999999999999998+5.54030685070782j),(-0.6999999999999998-5.54030685070782j)
1975,0.033333333333333326,0.5,0.01,0.0,-1.5,4.5,(-0.6999999999999998+9.562687906650515j),(-0.6999999999999998-9.562687906650515j)
1976,0.033333333333333326,0.5,0.01,0.0,-1.5,6.0,(-0.6999999999999998+12.33673376546645j),(-0.6999999999999998-12.33673376546645j)
1977,0.033333333333333326,0.5,0.01,0.0,0.0,3.0,(-0.6999999999999998+11.037209792334293j),(-0.6999999999999998-11.037209792334293j)
1978,0.033333333333333326,0.5,0.01,0.0,0.0,4.5,(-0.6999999999999998+13.511846653955187j),(-0.6999999999999998-13.511846653955187j)
1979,0.033333333333333326,0.5,0.01,0.0,0.0,6.0,(-0.6999999999999998+15.598717896032351j),(-0.6999999999999998-15.598717896032351j)
1980,0.033333333333333326,0.75,-0.01,-2.0,-3.0,3.0,(18.436483480514386+0j),(-19.836483480514385+0j)
1981,0.033333333333333326,0.75,-0.01,-2.0,-3.0,4.5,(6.958859249261601+0j),(-8.3588592492616+0j)
1982,0.033333333333333326,0.75,-0.01,-2.0,-3.0,6.0,(-0.6999999999999998+15.77620835308662j),(-0.6999999999999998-15.77620835308662j)
1983,0.033333333333333326,0.75,-0.01,-2.0,-1.5,3.0,(6.958859249261601+0j),(-8.3588592492616+0j)
1984,0.033333333333333326,0.75,-0.01,-2.0,-1.5,4.5,(-0.6999999999999998+15.77620835308662j),(-0.6999999999999998-15.77620835308662j)
1985,0.033333333333333326,0.75,-0.01,-2.0,-1.5,6.0,(-0.6999999999999998+23.58888774402049j),(-0.6999999999999998-23.58888774402049j)
1986,0.033333333333333326,0.75,-0.01,-2.0,0.0,3.0,(-0.6999999999999998+15.77620835308662j),(-0.6999999999999998-15.77620835308662j)
1987,0.033333333333333326,0.75,-0.01,-2.0,0.0,4.5,(-0.6999999999999998+23.58888774402049j),(-0.6999999999999998-23.58888774402049j)
1988,0.033333333333333326,0.75,-0.01,-2.0,0.0,6.0,(-0.6999999999999998+29.39357923084564j),(-0.6999999999999998-29.39357923084564j)
1989,0.033333333333333326,0.75,-0.01,-1.3333333333333335,-3.0,3.0,(14.943049574811173+0j),(-16.34304957481117+0j)
1990,0.033333333333333326,0.75,-0.01,-1.3333333333333335,-3.0,4.5,(-0.6999999999999998+7.927286736330409j),(-0.6999999999999998-7.927286736330409j)
1991,0.033333333333333326,0.75,-0.01,-1.3333333333333335,-3.0,6.0,(-0.6999999999999998+19.245486483848623j),(-0.6999999999999998-19.245486483848623j)
1992,0.033333333333333326,0.75,-0.01,-1.3333333333333335,-1.5,3.0,(-0.6999999999999998+7.927286736330409j),(-0.6999999999999998-7.927286736330409j)
1993,0.033333333333333326,0.75,-0.01,-1.3333333333333335,-1.5,4.5,(-0.6999999999999998+19.245486483848623j),(-0.6999999999999998-19.245486483848623j)
1994,0.033333333333333326,0.75,-0.01,-1.3333333333333335,-1.5,6.0,(-0.6999999999999998+26.037196949748644j),(-0.6999999999999998-26.037196949748644j)
1995,0.033333333333333326,0.75,-0.01,-1.3333333333333335,0.0,3.0,(-0.6999999999999998+19.245486483848623j),(-0.6999999999999998-19.245486483848623j)
1996,0.033333333333333326,0.75,-0.01,-1.3333333333333335,0.0,4.5,(-0.6999999999999998+26.037196949748644j),(-0.6999999999999998-26.037196949748644j)
1997,0.033333333333333326,0.75,-0.01,-1.3333333333333335,0.0,6.0,(-0.6999999999999998+31.392395575998975j),(-0.6999999999999998-31.392395575998975j)
1998,0.033333333333333326,0.75,-0.01,-0.6666666666666667,-3.0,3.0,(10.399774772489755+0j),(-11.799774772489753+0j)
1999,0.033333333333333326,0.75,-0.01,-0.6666666666666667,-3.0,4.5,(-0.6999999999999998+13.57725579784074j),(-0.6999999999999998-13.57725579784074j)
2000,0.033333333333333326,0.75,-0.01,-0.6666666666666667,-3.0,6.0,(-0.6999999999999998+22.178565102368548j),(-0.6999999999999998-22.178565102368548j)
2001,0.033333333333333326,0.75,-0.01,-0.6666666666666667,-1.5,3.0,(-0.6999999999999998+13.57725579784074j),(-0.6999999999999998-13.57725579784074j)
2002,0.033333333333333326,0.75,-0.01,-0.6666666666666667,-1.5,4.5,(-0.6999999999999998+22.178565102368548j),(-0.6999999999999998-22.178565102368548j)
2003,0.033333333333333326,0.75,-0.01,-0.6666666666666667,-1.5,6.0,(-0.6999999999999998+28.274292652513875j),(-0.6999999999999998-28.274292652513875j)
2004,0.033333333333333326,0.75,-0.01,-0.6666666666666667,0.0,3.0,(-0.6999999999999998+22.178565102368548j),(-0.6999999999999998-22.178565102368548j)
2005,0.033333333333333326,0.75,-0.01,-0.6666666666666667,0.0,4.5,(-0.6999999999999998+28.274292652513875j),(-0.6999999999999998-28.274292652513875j)
2006,0.033333333333333326,0.75,-0.01,-0.6666666666666667,0.0,6.0,(-0.6999999999999998+33.27134653121211j),(-0.6999999999999998-33.27134653121211j)
2007,0.033333333333333326,0.75,-0.01,0.0,-3.0,3.0,(0.6057564857200496+0j),(-2.0057564857200494+0j)
2008,0.033333333333333326,0.75,-0.01,0.0,-3.0,4.5,(-0.6999999999999998+17.488335398201855j),(-0.6999999999999998-17.488335398201855j)
2009,0.033333333333333326,0.75,-0.01,0.0,-3.0,6.0,(-0.6999999999999998+24.7666862942946j),(-0.6999999999999998-24.7666862942946j)
2010,0.033333333333333326,0.75,-0.01,0.0,-1.5,3.0,(-0.6999999999999998+17.488335398201855j),(-0.6999999999999998-17.488335398201855j)
2011,0.033333333333333326,0.75,-0.01,0.0,-1.5,4.5,(-0.6999999999999998+24.7666862942946j),(-0.6999999999999998-24.7666862942946j)
2012,0.033333333333333326,0.75,-0.01,0.0,-1.5,6.0,(-0.6999999999999998+30.346921178267824j),(-0.6999999999999998-30.346921178267824j)
2013,0.033333333333333326,0.75,-0.01,0.0,0.0,3.0,(-0.6999999999999998+24.7666862942946j),(-0.6999999999999998-24.7666862942946j)
2014,0.033333333333333326,0.75,-0.01,0.0,0.0,4.5,(-0.6999999999999998+30.346921178267824j),(-0.6999999999999998-30.346921178267824j)
2015,0.033333333333333326,0.75,-0.01,0.0,0.0,6.0,(-0.6999999999999998+35.04971469213409j),(-0.6999999999999998-35.04971469213409j)
2016,0.033333333333333326,0.75,-0.005,-2.0,-3.0,3.0,(18.42060406995553+0j),(-19.82060406995553+0j)
2017,0.033333333333333326,0.75,-0.005,-2.0,-3.0,4.5,(6.919096074994716+0j),(-8.319096074994716+0j)
2018,0.033333333333333326,0.75,-0.005,-2.0,-3.0,6.0,(-0.6999999999999998+15.795450294309438j),(-0.6999999999999998-15.795450294309438j)
2019,0.033333333333333326,0.75,-0.005,-2.0,-1.5,3.0,(6.919096074994722+0j),(-8.319096074994722+0j)
2020,0.033333333333333326,0.75,-0.005,-2.0,-1.5,4.5,(-0.6999999999999998+15.795450294309434j),(-0.6999999999999998-15.795450294309434j)
2021,0.033333333333333326,0.75,-0.005,-2.0,-1.5,6.0,(-0.6999999999999998+23.601761057175374j),(-0.6999999999999998-23.601761057175374j)
2022,0.033333333333333326,0.75,-0.005,-2.0,0.0,3.0,(-0.6999999999999998+15.795450294309434j),(-0.6999999999999998-15.795450294309434j)
2023,0.033333333333333326,0.75,-0.005,-2.0,0.0,4.5,(-0.6999999999999998+23.601761057175374j),(-0.6999999999999998-23.601761057175374j)
2024,0.033333333333333326,0.75,-0.005,-2.0,0.0,6.0,(-0.6999999999999998+29.403911304450638j),(-0.6999999999999998-29.403911304450638j)
2025,0.033333333333333326,0.75,-0.005,-1.3333333333333335,-3.0,3.0,(14.923619939053818+0j),(-16.323619939053817+0j)
2026,0.033333333333333326,0.75,-0.005,-1.3333333333333335,-3.0,4.5,(-0.6999999999999998+7.965511596878132j),(-0.6999999999999998-7.965511596878132j)
2027,0.033333333333333326,0.75,-0.005,-1.3333333333333335,-3.0,6.0,(-0.6999999999999998+19.26126293886255j),(-0.6999999999999998-19.26126293886255j)
2028,0.033333333333333326,0.75,-0.005,-1.3333333333333335,-1.5,3.0,(-0.6999999999999998+7.965511596878132j),(-0.6999999999999998-7.965511596878132j)
2029,0.033333333333333326,0.75,-0.005,-1.3333333333333335,-1.5,4.5,(-0.6999999999999998+19.26126293886255j),(-0.6999999999999998-19.26126293886255j)
2030,0.033333333333333326,0.75,-0.005,-1.3333333333333335,-1.5,6.0,(-0.6999999999999998+26.04886033975383j),(-0.6999999999999998-26.04886033975383j)
2031,0.033333333333333326,0.75,-0.005,-1.3333333333333335,0.0,3.0,(-0.6999999999999998+19.26126293886255j),(-0.6999999999999998-19.26126293886255j)
2032,0.033333333333333326,0.75,-0.005,-1.3333333333333335,0.0,4.5,(-0.6999999999999998+26.04886033975383j),(-0.6999999999999998-26.04886033975383j)
2033,0.033333333333333326,0.75,-0.005,-1.3333333333333335,0.0,6.0,(-0.6999999999999998+31.402069995463677j),(-0.6999999999999998-31.402069995463677j)
2034,0.033333333333333326,0.75,-0.005,-0.6666666666666667,-3.0,3.0,(10.372375535538884+0j),(-11.772375535538883+0j)
2035,0.033333333333333326,0.75,-0.005,-0.6666666666666667,-3.0,4.5,(-0.6999999999999998+13.59960936938999j),(-0.6999999999999998-13.59960936938999j)
2036,0.033333333333333326,0.75,-0.005,-0.6666666666666667,-3.0,6.0,(-0.6999999999999998+22.19225653240337j),(-0.6999999999999998-22.19225653240337j)
2037,0.033333333333333326,0.75,-0.005,-0.6666666666666667,-1.5,3.0,(-0.6999999999999998+13.59960936938999j),(-0.6999999999999998-13.59960936938999j)
2038,0.033333333333333326,0.75,-0.005,-0.6666666666666667,-1.5,4.5,(-0.6999999999999998+22.19225653240337j),(-0.6999999999999998-22.19225653240337j)
2039,0.033333333333333326,0.75,-0.005,-0.6666666666666667,-1.5,6.0,(-0.6999999999999998+28.285033586686794j),(-0.6999999999999998-28.285033586686794j)
2040,0.033333333333333326,0.75,-0.005,-0.6666666666666667,0.0,3.0,(-0.6999999999999998+22.19225653240337j),(-0.6999999999999998-22.19225653240337j)
2041,0.033333333333333326,0.75,-0.005,-0.6666666666666667,0.0,4.5,(-0.6999999999999998+28.285033586686794j),(-0.6999999999999998-28.285033586686794j)
2042,0.033333333333333326,0.75,-0.005,-0.6666666666666667,0.0,6.0,(-0.6999999999999998+33.28047475622907j),(-0.6999999999999998-33.28047475622907j)
2043,0.033333333333333326,0.75,-0.005,0.0,-3.0,3.0,(0.3476163419878421+0j),(-1.7476163419878419+0j)
2044,0.033333333333333326,0.75,-0.005,0.0,-3.0,4.5,(-0.6999999999999998+17.50569550175028j),(-0.6999999999999998-17.50569550175028j)
2045,0.033333333333333326,0.75,-0.005,0.0,-3.0,6.0,(-0.6999999999999998+24.77894771777042j),(-0.6999999999999998-24.77894771777042j)
2046,0.033333333333333326,0.75,-0.005,0.0,-1.5,3.0,(-0.6999999999999998+17.50569550175028j),(-0.6999999999999998-17.50569550175028j)
2047,0.033333333333333326,0.75,-0.005,0.0,-1.5,4.5,(-0.6999999999999998+24.77894771777042j),(-0.6999999999999998-24.77894771777042j)
2048,0.033333333333333326,0.75,-0.005,0.0,-1.5,6.0,(-0.6999999999999998+30.35692878075778j),(-0.6999999999999998-30.35692878075778j)
2049,0.033333333333333326,0.75,-0.005,0.0,0.0,3.0,(-0.6999999999999998+24.77894771777042j),(-0.6999999999999998-24.77894771777042j)
2050,0.033333333333333326,0.75,-0.005,0.0,0.0,4.5,(-0.6999999999999998+30.35692878075778j),(-0.6999999999999998-30.35692878075778j)
2051,0.033333333333333326,0.75,-0.005,0.0,0.0,6.0,(-0.6999999999999998+35.058379882704216j),(-0.6999999999999998-35.058379882704216j)
2052,0.033333333333333326,0.75,0.0,-2.0,-3.0,3.0,(18.404711460788935+0j),(-19.804711460788933+0j)
2053,0.033333333333333326,0.75,0.0,-2.0,-3.0,4.5,(6.879124289784407+0j),(-8.279124289784408+0j)
2054,0.033333333333333326,0.75,0.0,-2.0,-3.0,6.0,(-0.6999999999999998+15.81466882359539j),(-0.6999999999999998-15.81466882359539j)
2055,0.033333333333333326,0.75,0.0,-2.0,-1.5,3.0,(6.879124289784407+0j),(-8.279124289784408+0j)
2056,0.033333333333333326,0.75,0.0,-2.0,-1.5,4.5,(-0.6999999999999998+15.81466882359539j),(-0.6999999999999998-15.81466882359539j)
2057,0.033333333333333326,0.75,0.0,-2.0,-1.5,6.0,(-0.6999999999999998+23.61462735255418j),(-0.6999999999999998-23.61462735255418j)
2058,0.033333333333333326,0.75,0.0,-2.0,0.0,3.0,(-0.6999999999999998+15.81466882359539j),(-0.6999999999999998-15.81466882359539j)
2059,0.033333333333333326,0.75,0.0,-2.0,0.0,4.5,(-0.6999999999999998+23.61462735255418j),(-0.6999999999999998-23.61462735255418j)
2060,0.033333333333333326,0.75,0.0,-2.0,0.0,6.0,(-0.6999999999999998+29.41423974880194j),(-0.6999999999999998-29.41423974880194j)
2061,0.033333333333333326,0.75,0.0,-1.3333333333333335,-3.0,3.0,(14.904166110369372+0j),(-16.304166110369373+0j)
2062,0.033333333333333326,0.75,0.0,-1.3333333333333335,-3.0,4.5,(-0.6999999999999998+8.003553898113013j),(-0.6999999999999998-8.003553898113013j)
2063,0.033333333333333326,0.75,0.0,-1.3333333333333335,-3.0,6.0,(-0.6999999999999998+19.277026482318274j),(-0.6999999999999998-19.277026482318274j)
2064,0.033333333333333326,0.75,0.0,-1.3333333333333335,-1.5,3.0,(-0.6999999999999998+8.003553898113013j),(-0.6999999999999998-8.003553898113013j)
2065,0.033333333333333326,0.75,0.0,-1.3333333333333335,-1.5,4.5,(-0.6999999999999998+19.277026482318274j),(-0.6999999999999998-19.277026482318274j)
2066,0.033333333333333326,0.75,0.0,-1.3333333333333335,-1.5,6.0,(-0.6999999999999998+26.060518509807128j),(-0.6999999999999998-26.060518509807128j)
2067,0.033333333333333326,0.75,0.0,-1.3333333333333335,0.0,3.0,(-0.6999999999999998+19.277026482318274j),(-0.6999999999999998-19.277026482318274j)
2068,0.033333333333333326,0.75,0.0,-1.3333333333333335,0.0,4.5,(-0.6999999999999998+26.060518509807128j),(-0.6999999999999998-26.060518509807128j)
2069,0.033333333333333326,0.75,0.0,-1.3333333333333335,0.0,6.0,(-0.6999999999999998+31.41174143532956j),(-0.6999999999999998-31.41174143532956j)
2070,0.033333333333333326,0.75,0.0,-0.6666666666666667,-3.0,3.0,(10.344908329180464+0j),(-11.744908329180463+0j)
2071,0.033333333333333326,0.75,0.0,-0.6666666666666667,-3.0,4.5,(-0.6999999999999998+13.621926258793211j),(-0.6999999999999998-13.621926258793211j)
2072,0.033333333333333326,0.75,0.0,-0.6666666666666667,-3.0,6.0,(-0.6999999999999998+22.20593952076786j),(-0.6999999999999998-22.20593952076786j)
2073,0.033333333333333326,0.75,0.0,-0.6666666666666667,-1.5,3.0,(-0.6999999999999998+13.621926258793211j),(-0.6999999999999998-13.621926258793211j)
2074,0.033333333333333326,0.75,0.0,-0.6666666666666667,-1.5,4.5,(-0.6999999999999998+22.20593952076786j),(-0.6999999999999998-22.20593952076786j)
2075,0.033333333333333326,0.75,0.0,-0.6666666666666667,-1.5,6.0,(-0.6999999999999998+28.29577044365465j),(-0.6999999999999998-28.29577044365465j)
2076,0.033333333333333326,0.75,0.0,-0.6666666666666667,0.0,3.0,(-0.6999999999999998+22.20593952076786j),(-0.6999999999999998-22.20593952076786j)
2077,0.033333333333333326,0.75,0.0,-0.6666666666666667,0.0,4.5,(-0.6999999999999998+28.29577044365465j),(-0.6999999999999998-28.29577044365465j)
2078,0.033333333333333326,0.75,0.0,-0.6666666666666667,0.0,6.0,(-0.6999999999999998+33.28960047822743j),(-0.6999999999999998-33.28960047822743j)
2079,0.033333333333333326,0.75,0.0,0.0,-3.0,3.0,0j,(-1.3999999999999997+0j)
2080,0.033333333333333326,0.75,0.0,0.0,-3.0,4.5,(-0.6999999999999998+17.523038406623435j),(-0.6999999999999998-17.523038406623435j)
2081,0.033333333333333326,0.75,0.0,0.0,-3.0,6.0,(-0.6999999999999998+24.791203076898064j),(-0.6999999999999998-24.791203076898064j)
2082,0.033333333333333326,0.75,0.0,0.0,-1.5,3.0,(-0.6999999999999998+17.523038406623435j),(-0.6999999999999998-17.523038406623435j)
2083,0.033333333333333326,0.75,0.0,0.0,-1.5,4.5,(-0.6999999999999998+24.791203076898064j),(-0.6999999999999998-24.791203076898064j)
2084,0.033333333333333326,0.75,0.0,0.0,-1.5,6.0,(-0.6999999999999998+30.366933085183298j),(-0.6999999999999998-30.366933085183298j)
2085,0.033333333333333326,0.75,0.0,0.0,0.0,3.0,(-0.6999999999999998+24.791203076898064j),(-0.6999999999999998-24.791203076898064j)
2086,0.033333333333333326,0.75,0.0,0.0,0.0,4.5,(-0.6999999999999998+30.366933085183298j),(-0.6999999999999998-30.366933085183298j)
2087,0.033333333333333326,0.75,0.0,0.0,0.0,6.0,(-0.6999999999999998+35.067042932075125j),(-0.6999999999999998-35.067042932075125j)
2088,0.033333333333333326,0.75,0.004999999999999999,-2.0,-3.0,3.0,(18.38880562004863+0j),(-19.788805620048628+0j)
2089,0.033333333333333326,0.75,0.004999999999999999,-2.0,-3.0,4.5,(6.838940575438973+0j),(-8.238940575438972+0j)
2090,0.033333333333333326,0.75,0.004999999999999999,-2.0,-3.0,6.0,(-0.6999999999999998+15.83386402619398j),(-0.6999999999999998-15.83386402619398j)
2091,0.033333333333333326,0.75,0.004999999999999999,-2.0,-1.5,3.0,(6.838940575438966+0j),(-8.238940575438965+0j)
2092,0.033333333333333326,0.75,0.004999999999999999,-2.0,-1.5,4.5,(-0.6999999999999998+15.833864026193984j),(-0.6999999999999998-15.833864026193984j)
2093,0.033333333333333326,0.75,0.004999999999999999,-2.0,-1.5,6.0,(-0.6999999999999998+23.62748664162145j),(-0.6999999999999998-23.62748664162145j)
2094,0.033333333333333326,0.75,0.004999999999999999,-2.0,0.0,3.0,(-0.6999999999999998+15.833864026193984j),(-0.6999999999999998-15.833864026193984j)
2095,0.033333333333333326,0.75,0.004999999999999999,-2.0,0.0,4.5,(-0.6999999999999998+23.62748664162145j),(-0.6999999999999998-23.62748664162145j)
2096,0.033333333333333326,0.75,0.004999999999999999,-2.0,0.0,6.0,(-0.6999999999999998+29.4245645677213j),(-0.6999999999999998-29.4245645677213j)
2097,0.033333333333333326,0.75,0.004999999999999999,-1.3333333333333335,-3.0,3.0,(14.884687998160247+0j),(-16.284687998160248+0j)
2098,0.033333333333333326,0.75,0.004999999999999999,-1.3333333333333335,-3.0,4.5,(-0.6999999999999998+8.04141623098817j),(-0.6999999999999998-8.04141623098817j)
2099,0.033333333333333326,0.75,0.004999999999999999,-1.3333333333333335,-3.0,6.0,(-0.6999999999999998+19.29277714586472j),(-0.6999999999999998-19.29277714586472j)
2100,0.033333333333333326,0.75,0.004999999999999999,-1.3333333333333335,-1.5,3.0,(-0.6999999999999998+8.04141623098817j),(-0.6999999999999998-8.04141623098817j)
2101,0.033333333333333326,0.75,0.004999999999999999,-1.3333333333333335,-1.5,4.5,(-0.6999999999999998+19.29277714586472j),(-0.6999999999999998-19.29277714586472j)
2102,0.033333333333333326,0.75,0.004999999999999999,-1.3333333333333335,-1.5,6.0,(-0.6999999999999998+26.072171466910845j),(-0.6999999999999998-26.072171466910845j)
2103,0.033333333333333326,0.75,0.004999999999999999,-1.3333333333333335,0.0,3.0,(-0.6999999999999998+19.29277714586472j),(-0.6999999999999998-19.29277714586472j)
2104,0.033333333333333326,0.75,0.004999999999999999,-1.3333333333333335,0.0,4.5,(-0.6999999999999998+26.072171466910845j),(-0.6999999999999998-26.072171466910845j)
2105,0.033333333333333326,0.75,0.004999999999999999,-1.3333333333333335,0.0,6.0,(-0.6999999999999998+31.42140989834797j),(-0.6999999999999998-31.42140989834797j)
2106,0.033333333333333326,0.75,0.004999999999999999,-0.6666666666666667,-3.0,3.0,(10.31737264505472+0j),(-11.717372645054718+0j)
2107,0.033333333333333326,0.75,0.004999999999999999,-0.6666666666666667,-3.0,4.5,(-0.6999999999999998+13.644206646045784j),(-0.6999999999999998-13.644206646045784j)
2108,0.033333333333333326,0.75,0.004999999999999999,-0.6666666666666667,-3.0,6.0,(-0.6999999999999998+22.219614083057337j),(-0.6999999999999998-22.219614083057337j)
2109,0.033333333333333326,0.75,0.004999999999999999,-0.6666666666666667,-1.5,3.0,(-0.6999999999999998+13.644206646045784j),(-0.6999999999999998-13.644206646045784j)
2110,0.033333333333333326,0.75,0.004999999999999999,-0.6666666666666667,-1.5,4.5,(-0.6999999999999998+22.219614083057337j),(-0.6999999999999998-22.219614083057337j)
2111,0.033333333333333326,0.75,0.004999999999999999,-0.6666666666666667,-1.5,6.0,(-0.6999999999999998+28.306503228056975j),(-0.6999999999999998-28.306503228056975j)
2112,0.033333333333333326,0.75,0.004999999999999999,-0.6666666666666667,0.0,3.0,(-0.6999999999999998+22.219614083057337j),(-0.6999999999999998-22.219614083057337j)
2113,0.033333333333333326,0.75,0.004999999999999999,-0.6666666666666667,0.0,4.5,(-0.6999999999999998+28.306503228056975j),(-0.6999999999999998-28.306503228056975j)
2114,0.033333333333333326,0.75,0.004999999999999999,-0.6666666666666667,0.0,6.0,(-0.6999999999999998+33.29872369926511j),(-0.6999999999999998-33.29872369926511j)
2115,0.033333333333333326,0.75,0.004999999999999999,0.0,-3.0,3.0,(-0.6999999999999998+0.3427827300200337j),(-0.6999999999999998-0.3427827300200337j)
2116,0.033333333333333326,0.75,0.004999999999999999,0.0,-3.0,4.5,(-0.6999999999999998+17.540364163836507j),(-0.6999999999999998-17.540364163836507j)
2117,0.033333333333333326,0.75,0.004999999999999999,0.0,-3.0,6.0,(-0.6999999999999998+24.803452380666688j),(-0.6999999999999998-24.803452380666688j)
2118,0.033333333333333326,0.75,0.004999999999999999,0.0,-1.5,3.0,(-0.6999999999999998+17.540364163836507j),(-0.6999999999999998-17.540364163836507j)
2119,0.033333333333333326,0.75,0.004999999999999999,0.0,-1.5,4.5,(-0.6999999999999998+24.803452380666688j),(-0.6999999999999998-24.803452380666688j)
2120,0.033333333333333326,0.75,0.004999999999999999,0.0,-1.5,6.0,(-0.6999999999999998+30.376934094802916j),(-0.6999999999999998-30.376934094802916j)
2121,0.033333333333333326,0.75,0.004999999999999999,0.0,0.0,3.0,(-0.6999999999999998+24.803452380666688j),(-0.6999999999999998-24.803452380666688j)
2122,0.033333333333333326,0.75,0.004999999999999999,0.0,0.0,4.5,(-0.6999999999999998+30.376934094802916j),(-0.6999999999999998-30.376934094802916j)
2123,0.033333333333333326,0.75,0.004999999999999999,0.0,0.0,6.0,(-0.6999999999999998+35.07570384183331j),(-0.6999999999999998-35.07570384183331j)
2124,0.033333333333333326,0.75,0.01,-2.0,-3.0,3.0,(18.372886514631183+0j),(-19.772886514631182+0j)
2125,0.033333333333333326,0.75,0.01,-2.0,-3.0,4.5,(6.798541524856685+0j),(-8.198541524856685+0j)
2126,0.033333333333333326,0.75,0.01,-2.0,-3.0,6.0,(-0.6999999999999998+15.853035986838607j),(-0.6999999999999998-15.853035986838607j)
2127,0.033333333333333326,0.75,0.01,-2.0,-1.5,3.0,(6.798541524856685+0j),(-8.198541524856685+0j)
2128,0.033333333333333326,0.75,0.01,-2.0,-1.5,4.5,(-0.6999999999999998+15.853035986838607j),(-0.6999999999999998-15.853035986838607j)
2129,0.033333333333333326,0.75,0.01,-2.0,-1.5,6.0,(-0.6999999999999998+23.640338935810544j),(-0.6999999999999998-23.640338935810544j)
